onset	duration	task	task_block_on	image	novelty	domain	fame	fame_rating	fame_check	task_relevance	response_time	accuracy
21.0	0.5	FamousPlaces	1	FP_7.bmp	Novel	Place	Famous	7.0	1.0	Relevant	1182.0	1.0
22.5	0.5	FamousPlaces	0	AP_32.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	666.0	1.0
24.0	0.5	FamousPlaces	0	AP_23.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	409.0	1.0
25.5	0.5	FamousPlaces	0	FP_7.bmp	Repeat	Place	Famous	7.0	1.0	Relevant	542.0	1.0
27.0	0.5	FamousPlaces	0	AP_5.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	437.0	1.0
29.001	0.5	FamousPlaces	0	AP_29.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	573.0	1.0
30.999	0.5	FamousPlaces	0	AP_16.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	558.0	1.0
33.0	0.5	FamousPlaces	0	FP_28.bmp	Novel	Place	Famous	3.0	0.0	Relevant	607.0	1.0
34.5	0.5	FamousPlaces	0	AP_40.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	517.0	1.0
36.0	0.5	FamousPlaces	0	AP_15.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	732.0	1.0
37.5	0.5	FamousPlaces	0	FP_28.bmp	Repeat	Place	Famous	3.0	0.0	Relevant	412.0	0.0
39.999	0.5	FamousPlaces	0	AP_37.bmp	Novel	Place	Anonymous	3.0	1.0	Irrelevant	427.0	1.0
42.0	0.5	FamousPlaces	0	FP_27.bmp	Novel	Place	Famous	7.0	1.0	Relevant	304.0	1.0
43.5	0.5	FamousPlaces	0	AP_20.bmp	Novel	Place	Anonymous	3.0	1.0	Irrelevant	372.0	1.0
45.0	0.5	FamousPlaces	0	AP_14.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	569.0	1.0
46.5	0.5	FamousPlaces	0	FP_27.bmp	Repeat	Place	Famous	7.0	1.0	Relevant	518.0	0.0
51.0	0.5	FamousPlaces	0	FP_3.bmp	Novel	Place	Famous	1.0	0.0	Relevant	848.0	1.0
52.5	0.5	FamousPlaces	0	AP_38.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	356.0	1.0
54.0	0.5	FamousPlaces	0	AP_36.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	410.0	1.0
55.5	0.5	FamousPlaces	0	FP_3.bmp	Repeat	Place	Famous	1.0	0.0	Relevant	447.0	0.0
60.0	0.5	FamousPlaces	0	FP_36.bmp	Novel	Place	Famous	7.0	1.0	Relevant	518.0	1.0
61.5	0.5	FamousPlaces	0	AP_21.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	318.0	1.0
63.0	0.5	FamousPlaces	0	AP_40.bmp	Repeat	Place	Anonymous	1.0	1.0	Irrelevant	528.0	1.0
64.5	0.5	FamousPlaces	0	FP_36.bmp	Novel	Place	Famous	7.0	1.0	Relevant	532.0	0.0
66.999	0.5	FamousPlaces	0	AP_9.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	451.0	1.0
69.0	0.5	FamousPlaces	0	FP_34.bmp	Novel	Place	Famous	7.0	1.0	Relevant	340.0	1.0
70.5	0.5	FamousPlaces	0	AP_17.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	395.0	1.0
72.0	0.5	FamousPlaces	0	AP_12.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	499.0	1.0
73.5	0.5	FamousPlaces	0	FP_34.bmp	Repeat	Place	Famous	7.0	1.0	Relevant	544.0	1.0
75.0	0.5	FamousPlaces	0	AP_25.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	487.0	1.0
77.001	0.5	FamousPlaces	0	AP_19.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	293.0	1.0
78.999	0.5	FamousPlaces	0	AP_35.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	311.0	1.0
81.0	0.5	FamousPlaces	0	FP_29.bmp	Novel	Place	Famous	7.0	1.0	Relevant	347.0	1.0
82.5	0.5	FamousPlaces	0	AP_26.bmp	Novel	Place	Anonymous	7.0	1.0	Irrelevant	422.0	1.0
84.0	0.5	FamousPlaces	0	AP_4.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	527.0	1.0
85.5	0.5	FamousPlaces	0	FP_43.bmp	Novel	Place	Famous	1.0	0.0	Relevant	548.0	1.0
