onset	duration	task	task_block_on	image	novelty	domain	fame	fame_rating	fame_check	task_relevance	response_time	accuracy
21.0	0.5	FamousPlaces	1	AP_38.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	1092.0	1.0
24.0	0.5	FamousPlaces	0	FP_41.bmp	Novel	Place	Famous	7.0	1.0	Relevant	595.0	1.0
25.5	0.5	FamousPlaces	0	AP_25.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	1104.0	1.0
27.0	0.5	FamousPlaces	0	AP_32.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	654.0	1.0
28.5	0.5	FamousPlaces	0	FP_41.bmp	Repeat	Place	Famous	7.0	1.0	Relevant	520.0	1.0
33.0	0.5	FamousPlaces	0	FP_29.bmp	Novel	Place	Famous	1.0	0.0	Relevant	616.0	1.0
34.5	0.5	FamousPlaces	0	AP_31.bmp	Novel	Place	Anonymous	4.0	1.0	Irrelevant	482.0	1.0
36.0	0.5	FamousPlaces	0	AP_14.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	494.0	1.0
37.5	0.5	FamousPlaces	0	FP_4.bmp	Novel	Place	Famous	7.0	1.0	Relevant	611.0	1.0
39.999	0.5	FamousPlaces	0	AP_10.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	625.0	1.0
42.0	0.5	FamousPlaces	0	FP_4.bmp	Repeat	Place	Famous	7.0	1.0	Relevant	626.0	1.0
43.5	0.5	FamousPlaces	0	AP_36.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	506.0	1.0
45.0	0.5	FamousPlaces	0	AP_5.bmp	Novel	Place	Anonymous	4.0	1.0	Irrelevant	666.0	1.0
46.5	0.5	FamousPlaces	0	FP_6.bmp	Novel	Place	Famous	3.0	0.0	Relevant	623.0	1.0
48.998999999999995	0.5	FamousPlaces	0	AP_6.bmp	Novel	Place	Anonymous	5.0	1.0	Irrelevant	646.0	1.0
51.0	0.5	FamousPlaces	0	FP_1.bmp	Novel	Place	Famous	2.0	0.0	Relevant	429.0	1.0
52.5	0.5	FamousPlaces	0	AP_23.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	602.0	1.0
54.0	0.5	FamousPlaces	0	AP_14.bmp	Repeat	Place	Anonymous	2.0	1.0	Irrelevant	668.0	1.0
55.5	0.5	FamousPlaces	0	FP_1.bmp	Repeat	Place	Famous	2.0	0.0	Relevant	552.0	0.0
57.998999999999995	0.5	FamousPlaces	0	AP_35.bmp	Novel	Place	Anonymous	5.0	1.0	Irrelevant	796.0	1.0
60.0	0.5	FamousPlaces	0	FP_2.bmp	Novel	Place	Famous	7.0	1.0	Relevant	842.0	1.0
61.5	0.5	FamousPlaces	0	AP_40.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	830.0	1.0
63.0	0.5	FamousPlaces	0	AP_16.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	628.0	1.0
64.5	0.5	FamousPlaces	0	FP_2.bmp	Repeat	Place	Famous	7.0	1.0	Relevant	797.0	1.0
66.0	0.5	FamousPlaces	0	AP_29.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	661.0	1.0
68.001	0.5	FamousPlaces	0	AP_17.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	554.0	1.0
69.999	0.5	FamousPlaces	0	AP_34.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	376.0	1.0
72.0	0.5	FamousPlaces	0	FP_11.bmp	Novel	Place	Famous	5.0	1.0	Relevant	468.0	1.0
73.5	0.5	FamousPlaces	0	AP_18.bmp	Novel	Place	Anonymous	4.0	1.0	Irrelevant	522.0	1.0
75.0	0.5	FamousPlaces	0	AP_21.bmp	Repeat	Place	Anonymous	2.0	1.0	Irrelevant	517.0	1.0
76.5	0.5	FamousPlaces	0	FP_8.bmp	Novel	Place	Famous	7.0	1.0	Relevant	642.0	1.0
78.0	0.5	FamousPlaces	0	AP_28.bmp	Novel	Place	Anonymous	7.0	1.0	Irrelevant	757.0	1.0
80.001	0.5	FamousPlaces	0	AP_11.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	578.0	1.0
81.999	0.5	FamousPlaces	0	AP_3.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	455.0	1.0
84.0	0.5	FamousPlaces	0	FP_8.bmp	Repeat	Place	Famous	7.0	1.0	Relevant	682.0	1.0
85.5	0.5	FamousPlaces	0	AP_33.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	505.0	1.0
87.0	0.5	FamousPlaces	0	AP_39.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	523.0	1.0
88.5	0.5	FamousPlaces	0	FP_39.bmp	Novel	Place	Famous	7.0	1.0	Relevant	688.0	1.0
93.0	0.5	FamousPlaces	0	FP_14.bmp	Novel	Place	Famous	2.0	0.0	Relevant	833.0	1.0
94.5	0.5	FamousPlaces	0	AP_37.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	625.0	1.0
96.0	0.5	FamousPlaces	0	AP_27.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	470.0	1.0
97.5	0.5	FamousPlaces	0	FP_14.bmp	Repeat	Place	Famous	2.0	0.0	Relevant	424.0	0.0
99.999	0.5	FamousPlaces	0	AP_15.bmp	Novel	Place	Anonymous	5.0	1.0	Irrelevant	801.0	1.0
102.0	0.5	FamousPlaces	0	FP_35.bmp	Novel	Place	Famous	2.0	0.0	Relevant	732.0	1.0
103.5	0.5	FamousPlaces	0	AP_7.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	553.0	1.0
105.0	0.5	FamousPlaces	0	AP_1.bmp	Novel	Place	Anonymous	3.0	1.0	Irrelevant	568.0	1.0
106.5	0.5	FamousPlaces	0	FP_35.bmp	Repeat	Place	Famous	2.0	0.0	Relevant	631.0	0.0
111.0	n/a	Fixation	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
114.0	n/a	Fixation	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
117.0	n/a	Fixation	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
120.0	n/a	Fixation	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
123.0	n/a	Fixation	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
126.0	n/a	Fixation	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
129.0	n/a	Fixation	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
132.0	n/a	Fixation	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
135.0	n/a	Fixation	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
138.0	n/a	Fixation	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
144.0	0.5	FamousFaces	1	AF_27.bmp	Novel	Face	Anonymous	1.0	1.0	Irrelevant	538.0	1.0
147.0	0.5	FamousFaces	0	FF_50.bmp	Novel	Face	Famous	7.0	1.0	Relevant	457.0	1.0
148.5	0.5	FamousFaces	0	AF_46.bmp	Novel	Face	Anonymous	2.0	1.0	Irrelevant	633.0	1.0
150.0	0.5	FamousFaces	0	AF_32.bmp	Novel	Face	Anonymous	2.0	1.0	Irrelevant	591.0	1.0
151.5	0.5	FamousFaces	0	FF_50.bmp	Repeat	Face	Famous	7.0	1.0	Relevant	611.0	1.0
156.0	0.5	FamousFaces	0	FF_19.bmp	Novel	Face	Famous	7.0	1.0	Relevant	619.0	1.0
157.5	0.5	FamousFaces	0	AF_36.bmp	Novel	Face	Anonymous	2.0	1.0	Irrelevant	382.0	1.0
159.0	0.5	FamousFaces	0	AF_12.bmp	Novel	Face	Anonymous	1.0	1.0	Irrelevant	377.0	1.0
160.5	0.5	FamousFaces	0	FF_26.bmp	Novel	Face	Famous	7.0	1.0	Relevant	810.0	1.0
162.999	0.5	FamousFaces	0	AF_3.bmp	Novel	Face	Anonymous	2.0	1.0	Irrelevant	968.0	1.0
165.0	0.5	FamousFaces	0	FF_26.bmp	Repeat	Face	Famous	7.0	1.0	Relevant	594.0	0.0
