onset	duration	task	task_block_on	image	novelty	domain	fame	fame_rating	fame_check	task_relevance	response_time	accuracy
21.0	0.5	AnonymousPlaces	1	FP_14.bmp	Novel	Place	Famous	2.0	0.0	Irrelevant	441.0	1.0
23.0	0.5	AnonymousPlaces	0	FP_39.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	264.0	1.0
25.0	0.5	AnonymousPlaces	0	FP_15.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	285.0	1.0
27.0	0.5	AnonymousPlaces	0	AP_6.bmp	Novel	Place	Anonymous	5.0	1.0	Relevant	614.0	0.0
28.5	0.5	AnonymousPlaces	0	FP_37.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	323.0	1.0
30.0	0.5	AnonymousPlaces	0	FP_2.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	328.0	1.0
31.5	0.5	AnonymousPlaces	0	AP_6.bmp	Repeat	Place	Anonymous	5.0	1.0	Relevant	410.0	0.0
36.0	0.5	AnonymousPlaces	0	AP_19.bmp	Novel	Place	Anonymous	1.0	1.0	Relevant	516.0	1.0
37.5	0.5	AnonymousPlaces	0	FP_6.bmp	Novel	Place	Famous	3.0	0.0	Irrelevant	569.0	1.0
39.0	0.5	AnonymousPlaces	0	FP_44.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	545.0	1.0
40.5	0.5	AnonymousPlaces	0	AP_19.bmp	Repeat	Place	Anonymous	1.0	1.0	Relevant	752.0	1.0
43.0	0.5	AnonymousPlaces	0	FP_14.bmp	Repeat	Place	Famous	2.0	0.0	Irrelevant	488.0	1.0
45.0	0.5	AnonymousPlaces	0	AP_7.bmp	Novel	Place	Anonymous	2.0	1.0	Relevant	280.0	1.0
46.5	0.5	AnonymousPlaces	0	FP_21.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	333.0	1.0
48.0	0.5	AnonymousPlaces	0	FP_7.bmp	Novel	Place	Famous	4.0	1.0	Irrelevant	429.0	1.0
49.5	0.5	AnonymousPlaces	0	AP_28.bmp	Novel	Place	Anonymous	7.0	1.0	Relevant	607.0	1.0
52.0	0.5	AnonymousPlaces	0	FP_8.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	726.0	1.0
54.0	0.5	AnonymousPlaces	0	AP_28.bmp	Repeat	Place	Anonymous	7.0	1.0	Relevant	679.0	0.0
55.5	0.5	AnonymousPlaces	0	FP_12.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	867.0	1.0
57.0	0.5	AnonymousPlaces	0	FP_23.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	870.0	1.0
58.5	0.5	AnonymousPlaces	0	AP_35.bmp	Novel	Place	Anonymous	5.0	1.0	Relevant	602.0	1.0
61.0	0.5	AnonymousPlaces	0	FP_20.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	741.0	1.0
63.0	0.5	AnonymousPlaces	0	AP_14.bmp	Novel	Place	Anonymous	2.0	1.0	Relevant	834.0	1.0
64.5	0.5	AnonymousPlaces	0	FP_33.bmp	Novel	Place	Famous	1.0	0.0	Irrelevant	860.0	1.0
66.0	0.5	AnonymousPlaces	0	FP_36.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	650.0	1.0
67.5	0.5	AnonymousPlaces	0	AP_14.bmp	Repeat	Place	Anonymous	2.0	1.0	Relevant	932.0	1.0
72.0	0.5	AnonymousPlaces	0	AP_9.bmp	Novel	Place	Anonymous	3.0	1.0	Relevant	445.0	1.0
73.5	0.5	AnonymousPlaces	0	FP_22.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	667.0	1.0
75.0	0.5	AnonymousPlaces	0	FP_41.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	470.0	1.0
76.5	0.5	AnonymousPlaces	0	AP_21.bmp	Novel	Place	Anonymous	2.0	1.0	Relevant	500.0	1.0
79.0	0.5	AnonymousPlaces	0	FP_38.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	669.0	1.0
81.0	0.5	AnonymousPlaces	0	AP_21.bmp	Repeat	Place	Anonymous	2.0	1.0	Relevant	679.0	1.0
82.5	0.5	AnonymousPlaces	0	FP_43.bmp	Novel	Place	Famous	3.0	0.0	Irrelevant	467.0	1.0
84.0	0.5	AnonymousPlaces	0	FP_24.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	547.0	1.0
85.5	0.5	AnonymousPlaces	0	AP_10.bmp	Novel	Place	Anonymous	2.0	1.0	Relevant	599.0	1.0
87.0	0.5	AnonymousPlaces	0	FP_17.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	611.0	1.0
89.0	0.5	AnonymousPlaces	0	FP_40.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	657.0	1.0
91.0	0.5	AnonymousPlaces	0	FP_1.bmp	Novel	Place	Famous	2.0	0.0	Irrelevant	1010.0	1.0
93.0	0.5	AnonymousPlaces	0	AP_10.bmp	Repeat	Place	Anonymous	2.0	1.0	Relevant	472.0	0.0
94.5	0.5	AnonymousPlaces	0	FP_22.bmp	Repeat	Place	Famous	7.0	1.0	Irrelevant	543.0	1.0
96.0	0.5	AnonymousPlaces	0	FP_10.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	325.0	1.0
97.5	0.5	AnonymousPlaces	0	AP_16.bmp	Novel	Place	Anonymous	1.0	1.0	Relevant	302.0	1.0
100.0	0.5	AnonymousPlaces	0	FP_42.bmp	Novel	Place	Famous	4.0	1.0	Irrelevant	457.0	1.0
102.0	0.5	AnonymousPlaces	0	AP_18.bmp	Novel	Place	Anonymous	4.0	1.0	Relevant	416.0	1.0
103.5	0.5	AnonymousPlaces	0	FP_45.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	591.0	1.0
