onset	duration	task	task_block_on	image	novelty	domain	fame	fame_rating	fame_check	task_relevance	response_time	accuracy
21.0	0.5	FamousFaces	1	AF_27.bmp	Novel	Face	Anonymous	n/a	1.0	Irrelevant	533.0	1.0
24.0	0.5	FamousFaces	0	FF_50.bmp	Novel	Face	Famous	n/a	n/a	Relevant	561.0	1.0
25.5	0.5	FamousFaces	0	AF_46.bmp	Novel	Face	Anonymous	n/a	1.0	Irrelevant	508.0	1.0
27.0	0.5	FamousFaces	0	AF_32.bmp	Novel	Face	Anonymous	n/a	1.0	Irrelevant	574.0	1.0
28.5	0.5	FamousFaces	0	FF_50.bmp	Repeat	Face	Famous	n/a	n/a	Relevant	567.0	1.0
33.0	0.5	FamousFaces	0	FF_19.bmp	Novel	Face	Famous	n/a	n/a	Relevant	775.0	1.0
34.5	0.5	FamousFaces	0	AF_36.bmp	Novel	Face	Anonymous	n/a	1.0	Irrelevant	437.0	1.0
36.0	0.5	FamousFaces	0	AF_12.bmp	Novel	Face	Anonymous	n/a	1.0	Irrelevant	479.0	1.0
37.5	0.5	FamousFaces	0	FF_26.bmp	Novel	Face	Famous	n/a	n/a	Relevant	621.0	1.0
40.0	0.5	FamousFaces	0	AF_3.bmp	Novel	Face	Anonymous	n/a	1.0	Irrelevant	516.0	1.0
42.0	0.5	FamousFaces	0	FF_26.bmp	Repeat	Face	Famous	n/a	n/a	Relevant	611.0	1.0
43.5	0.5	FamousFaces	0	AF_4.bmp	Novel	Face	Anonymous	n/a	1.0	Irrelevant	471.0	1.0
45.0	0.5	FamousFaces	0	AF_10.bmp	Novel	Face	Anonymous	n/a	1.0	Irrelevant	434.0	1.0
46.5	0.5	FamousFaces	0	FF_22.bmp	Novel	Face	Famous	n/a	n/a	Relevant	660.0	1.0
49.0	0.5	FamousFaces	0	AF_26.bmp	Novel	Face	Anonymous	n/a	1.0	Irrelevant	509.0	1.0
51.0	0.5	FamousFaces	0	FF_11.bmp	Novel	Face	Famous	n/a	n/a	Relevant	445.0	1.0
52.5	0.5	FamousFaces	0	AF_11.bmp	Novel	Face	Anonymous	n/a	1.0	Irrelevant	551.0	1.0
54.0	0.5	FamousFaces	0	AF_18.bmp	Novel	Face	Anonymous	n/a	1.0	Irrelevant	562.0	1.0
55.5	0.5	FamousFaces	0	FF_11.bmp	Repeat	Face	Famous	n/a	n/a	Relevant	601.0	1.0
58.0	0.5	FamousFaces	0	AF_2.bmp	Novel	Face	Anonymous	n/a	1.0	Irrelevant	589.0	1.0
