onset	duration	task	task_block_on	image	novelty	domain	fame	fame_rating	fame_check	task_relevance	response_time	accuracy
21.0	0.5	FamousFaces	1	FF_42.bmp	Novel	Face	Famous	7.0	1.0	Relevant	1332.0	1.0
22.5	0.5	FamousFaces	0	AF_21.bmp	Novel	Face	Anonymous	1.0	1.0	Irrelevant	482.0	1.0
24.0	0.5	FamousFaces	0	AF_4.bmp	Novel	Face	Anonymous	5.0	1.0	Irrelevant	484.0	1.0
25.5	0.5	FamousFaces	0	FF_42.bmp	Repeat	Face	Famous	7.0	1.0	Relevant	676.0	1.0
30.0	0.5	FamousFaces	0	FF_5.bmp	Novel	Face	Famous	3.0	0.0	Relevant	481.0	1.0
31.5	0.5	FamousFaces	0	AF_32.bmp	Novel	Face	Anonymous	4.0	1.0	Irrelevant	515.0	1.0
33.0	0.5	FamousFaces	0	AF_8.bmp	Novel	Face	Anonymous	1.0	1.0	Irrelevant	509.0	1.0
34.5	0.5	FamousFaces	0	FF_5.bmp	Repeat	Face	Famous	3.0	0.0	Relevant	751.0	0.0
36.999	0.5	FamousFaces	0	AF_48.bmp	Novel	Face	Anonymous	5.0	1.0	Irrelevant	535.0	1.0
39.0	0.5	FamousFaces	0	FF_30.bmp	Novel	Face	Famous	7.0	1.0	Relevant	533.0	1.0
40.5	0.5	FamousFaces	0	AF_3.bmp	Novel	Face	Anonymous	1.0	1.0	Irrelevant	453.0	1.0
42.0	0.5	FamousFaces	0	AF_1.bmp	Novel	Face	Anonymous	1.0	1.0	Irrelevant	607.0	1.0
43.5	0.5	FamousFaces	0	FF_30.bmp	Repeat	Face	Famous	7.0	1.0	Relevant	506.0	1.0
45.999	0.5	FamousFaces	0	AF_38.bmp	Novel	Face	Anonymous	1.0	1.0	Irrelevant	476.0	1.0
48.0	0.5	FamousFaces	0	FF_3.bmp	Novel	Face	Famous	1.0	0.0	Relevant	457.0	1.0
49.5	0.5	FamousFaces	0	AF_17.bmp	Novel	Face	Anonymous	5.0	1.0	Irrelevant	452.0	1.0
51.0	0.5	FamousFaces	0	AF_47.bmp	Novel	Face	Anonymous	1.0	1.0	Irrelevant	465.0	1.0
52.5	0.5	FamousFaces	0	FF_17.bmp	Novel	Face	Famous	7.0	1.0	Relevant	517.0	1.0
54.0	0.5	FamousFaces	0	AF_8.bmp	Repeat	Face	Anonymous	1.0	1.0	Irrelevant	809.0	1.0
56.001000000000005	0.5	FamousFaces	0	AF_25.bmp	Novel	Face	Anonymous	1.0	1.0	Irrelevant	446.0	1.0
57.998999999999995	0.5	FamousFaces	0	AF_44.bmp	Novel	Face	Anonymous	3.0	1.0	Irrelevant	593.0	1.0
60.0	0.5	FamousFaces	0	FF_17.bmp	Repeat	Face	Famous	7.0	1.0	Relevant	1050.0	1.0
61.5	0.5	FamousFaces	0	AF_2.bmp	Novel	Face	Anonymous	4.0	1.0	Irrelevant	503.0	1.0
63.0	0.5	FamousFaces	0	AF_19.bmp	Novel	Face	Anonymous	1.0	1.0	Irrelevant	348.0	1.0
64.5	0.5	FamousFaces	0	FF_26.bmp	Novel	Face	Famous	7.0	1.0	Relevant	463.0	1.0
69.0	0.5	FamousFaces	0	FF_23.bmp	Novel	Face	Famous	1.0	0.0	Relevant	553.0	1.0
70.5	0.5	FamousFaces	0	AF_10.bmp	Novel	Face	Anonymous	4.0	1.0	Irrelevant	822.0	1.0
72.0	0.5	FamousFaces	0	AF_5.bmp	Novel	Face	Anonymous	1.0	1.0	Irrelevant	543.0	1.0
73.5	0.5	FamousFaces	0	FF_23.bmp	Repeat	Face	Famous	1.0	0.0	Relevant	703.0	0.0
75.999	0.5	FamousFaces	0	AF_24.bmp	Novel	Face	Anonymous	1.0	1.0	Irrelevant	574.0	1.0
78.0	0.5	FamousFaces	0	FF_18.bmp	Novel	Face	Famous	4.0	1.0	Relevant	459.0	1.0
79.5	0.5	FamousFaces	0	AF_22.bmp	Novel	Face	Anonymous	1.0	1.0	Irrelevant	661.0	1.0
81.0	0.5	FamousFaces	0	AF_36.bmp	Novel	Face	Anonymous	1.0	1.0	Irrelevant	514.0	1.0
82.5	0.5	FamousFaces	0	FF_18.bmp	Repeat	Face	Famous	4.0	1.0	Relevant	510.0	0.0
84.999	0.5	FamousFaces	0	AF_12.bmp	Novel	Face	Anonymous	3.0	1.0	Irrelevant	438.0	1.0
87.0	0.5	FamousFaces	0	FF_21.bmp	Novel	Face	Famous	3.0	0.0	Relevant	382.0	1.0
88.5	0.5	FamousFaces	0	AF_34.bmp	Novel	Face	Anonymous	5.0	1.0	Irrelevant	530.0	1.0
90.0	0.5	FamousFaces	0	AF_43.bmp	Novel	Face	Anonymous	1.0	1.0	Irrelevant	532.0	1.0
91.5	0.5	FamousFaces	0	FF_21.bmp	Repeat	Face	Famous	3.0	0.0	Relevant	1613.0	0.0
93.999	0.5	FamousFaces	0	AF_10.bmp	Repeat	Face	Anonymous	4.0	1.0	Irrelevant	620.0	1.0
96.0	0.5	FamousFaces	0	FF_45.bmp	Novel	Face	Famous	7.0	1.0	Relevant	407.0	1.0
97.5	0.5	FamousFaces	0	AF_13.bmp	Novel	Face	Anonymous	1.0	1.0	Irrelevant	763.0	1.0
99.0	0.5	FamousFaces	0	AF_50.bmp	Novel	Face	Anonymous	1.0	1.0	Irrelevant	507.0	1.0
100.5	0.5	FamousFaces	0	FF_46.bmp	Novel	Face	Famous	1.0	0.0	Relevant	548.0	1.0
102.0	0.5	FamousFaces	0	AF_23.bmp	Novel	Face	Anonymous	3.0	1.0	Irrelevant	792.0	1.0
104.001	0.5	FamousFaces	0	AF_42.bmp	Novel	Face	Anonymous	3.0	1.0	Irrelevant	607.0	1.0
105.999	0.5	FamousFaces	0	AF_20.bmp	Novel	Face	Anonymous	4.0	1.0	Irrelevant	491.0	1.0
111.0	n/a	Fixation	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
114.0	n/a	Fixation	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
117.0	n/a	Fixation	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
120.0	n/a	Fixation	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
123.0	n/a	Fixation	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
126.0	n/a	Fixation	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
129.0	n/a	Fixation	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
132.0	n/a	Fixation	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
135.0	n/a	Fixation	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
138.0	n/a	Fixation	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
144.0	0.5	AnonymousFaces	1	FF_38.bmp	Novel	Face	Famous	7.0	1.0	Irrelevant	1225.0	1.0
146.001	0.5	AnonymousFaces	0	FF_29.bmp	Novel	Face	Famous	7.0	1.0	Irrelevant	701.0	1.0
147.999	0.5	AnonymousFaces	0	FF_30.bmp	Novel	Face	Famous	7.0	1.0	Irrelevant	548.0	1.0
