onset	duration	task	task_block_on	image	novelty	domain	fame	fame_rating	fame_check	task_relevance	response_time	accuracy
21.0	0.5	AnonymousPlaces	1	AP_5.bmp	Novel	Place	Anonymous	1.0	1.0	Relevant	577.0	1.0
22.5	0.5	AnonymousPlaces	0	FP_8.bmp	Novel	Place	Famous	3.0	0.0	Irrelevant	434.0	1.0
24.0	0.5	AnonymousPlaces	0	FP_14.bmp	Novel	Place	Famous	6.0	1.0	Irrelevant	402.0	1.0
25.5	0.5	AnonymousPlaces	0	AP_5.bmp	Repeat	Place	Anonymous	1.0	1.0	Relevant	473.0	1.0
27.0	0.5	AnonymousPlaces	0	FP_33.bmp	Novel	Place	Famous	2.0	0.0	Irrelevant	451.0	1.0
29.001	0.5	AnonymousPlaces	0	FP_18.bmp	Novel	Place	Famous	2.0	0.0	Irrelevant	503.0	1.0
30.999	0.5	AnonymousPlaces	0	FP_42.bmp	Novel	Place	Famous	1.0	0.0	Irrelevant	698.0	1.0
33.0	0.5	AnonymousPlaces	0	AP_31.bmp	Novel	Place	Anonymous	2.0	1.0	Relevant	447.0	1.0
34.5	0.5	AnonymousPlaces	0	FP_7.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	553.0	1.0
36.0	0.5	AnonymousPlaces	0	FP_43.bmp	Novel	Place	Famous	1.0	0.0	Irrelevant	518.0	1.0
37.5	0.5	AnonymousPlaces	0	AP_31.bmp	Repeat	Place	Anonymous	2.0	1.0	Relevant	549.0	0.0
39.999	0.5	AnonymousPlaces	0	FP_33.bmp	Repeat	Place	Famous	2.0	0.0	Irrelevant	607.0	0.0
42.0	0.5	AnonymousPlaces	0	AP_7.bmp	Novel	Place	Anonymous	2.0	1.0	Relevant	460.0	1.0
43.5	0.5	AnonymousPlaces	0	FP_40.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	558.0	1.0
45.0	0.5	AnonymousPlaces	0	FP_4.bmp	Novel	Place	Famous	1.0	0.0	Irrelevant	572.0	1.0
46.5	0.5	AnonymousPlaces	0	AP_7.bmp	Repeat	Place	Anonymous	2.0	1.0	Relevant	600.0	0.0
51.0	0.5	AnonymousPlaces	0	AP_38.bmp	Novel	Place	Anonymous	1.0	1.0	Relevant	653.0	1.0
