onset	duration	task	task_block_on	image	novelty	domain	fame	fame_rating	fame_check	task_relevance	response_time	accuracy
21.0	0.5	FamousPlaces	1	AP_38.bmp	Novel	Place	Anonymous	4.0	1.0	Irrelevant	1000.0	1.0
24.0	0.5	FamousPlaces	0	FP_41.bmp	Novel	Place	Famous	5.0	1.0	Relevant	657.0	1.0
25.5	0.5	FamousPlaces	0	AP_25.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	650.0	1.0
27.0	0.5	FamousPlaces	0	AP_32.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	636.0	1.0
28.5	0.5	FamousPlaces	0	FP_41.bmp	Repeat	Place	Famous	5.0	1.0	Relevant	558.0	1.0
33.0	0.5	FamousPlaces	0	FP_29.bmp	Novel	Place	Famous	1.0	0.0	Relevant	418.0	1.0
34.5	0.5	FamousPlaces	0	AP_31.bmp	Novel	Place	Anonymous	4.0	1.0	Irrelevant	633.0	1.0
36.0	0.5	FamousPlaces	0	AP_14.bmp	Novel	Place	Anonymous	3.0	1.0	Irrelevant	661.0	1.0
37.5	0.5	FamousPlaces	0	FP_4.bmp	Novel	Place	Famous	7.0	1.0	Relevant	616.0	1.0
39.999	0.5	FamousPlaces	0	AP_10.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	510.0	1.0
42.0	0.5	FamousPlaces	0	FP_4.bmp	Repeat	Place	Famous	7.0	1.0	Relevant	844.0	1.0
43.5	0.5	FamousPlaces	0	AP_36.bmp	Novel	Place	Anonymous	3.0	1.0	Irrelevant	619.0	1.0
45.0	0.5	FamousPlaces	0	AP_5.bmp	Novel	Place	Anonymous	5.0	1.0	Irrelevant	635.0	1.0
46.5	0.5	FamousPlaces	0	FP_6.bmp	Novel	Place	Famous	6.0	1.0	Relevant	620.0	1.0
48.998999999999995	0.5	FamousPlaces	0	AP_6.bmp	Novel	Place	Anonymous	5.0	1.0	Irrelevant	667.0	1.0
51.0	0.5	FamousPlaces	0	FP_1.bmp	Novel	Place	Famous	7.0	1.0	Relevant	713.0	1.0
52.5	0.5	FamousPlaces	0	AP_23.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	682.0	1.0
54.0	0.5	FamousPlaces	0	AP_14.bmp	Repeat	Place	Anonymous	3.0	1.0	Irrelevant	596.0	1.0
55.5	0.5	FamousPlaces	0	FP_1.bmp	Repeat	Place	Famous	7.0	1.0	Relevant	550.0	0.0
57.998999999999995	0.5	FamousPlaces	0	AP_35.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	548.0	1.0
60.0	0.5	FamousPlaces	0	FP_2.bmp	Novel	Place	Famous	7.0	1.0	Relevant	776.0	1.0
61.5	0.5	FamousPlaces	0	AP_40.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	739.0	1.0
63.0	0.5	FamousPlaces	0	AP_16.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	741.0	1.0
64.5	0.5	FamousPlaces	0	FP_2.bmp	Repeat	Place	Famous	7.0	1.0	Relevant	523.0	1.0
66.0	0.5	FamousPlaces	0	AP_29.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	594.0	1.0
68.001	0.5	FamousPlaces	0	AP_17.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	578.0	1.0
69.999	0.5	FamousPlaces	0	AP_34.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	457.0	1.0
72.0	0.5	FamousPlaces	0	FP_11.bmp	Novel	Place	Famous	7.0	1.0	Relevant	615.0	1.0
73.5	0.5	FamousPlaces	0	AP_18.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	588.0	1.0
75.0	0.5	FamousPlaces	0	AP_21.bmp	Repeat	Place	Anonymous	1.0	1.0	Irrelevant	623.0	1.0
76.5	0.5	FamousPlaces	0	FP_8.bmp	Novel	Place	Famous	7.0	1.0	Relevant	762.0	1.0
78.0	0.5	FamousPlaces	0	AP_28.bmp	Novel	Place	Anonymous	4.0	1.0	Irrelevant	843.0	1.0
80.001	0.5	FamousPlaces	0	AP_11.bmp	Novel	Place	Anonymous	4.0	1.0	Irrelevant	649.0	1.0
81.999	0.5	FamousPlaces	0	AP_3.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	579.0	1.0
84.0	0.5	FamousPlaces	0	FP_8.bmp	Repeat	Place	Famous	7.0	1.0	Relevant	498.0	0.0
85.5	0.5	FamousPlaces	0	AP_33.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	699.0	1.0
87.0	0.5	FamousPlaces	0	AP_39.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	739.0	1.0
88.5	0.5	FamousPlaces	0	FP_39.bmp	Novel	Place	Famous	7.0	1.0	Relevant	692.0	1.0
93.0	0.5	FamousPlaces	0	FP_14.bmp	Novel	Place	Famous	6.0	1.0	Relevant	835.0	1.0
94.5	0.5	FamousPlaces	0	AP_37.bmp	Novel	Place	Anonymous	3.0	1.0	Irrelevant	800.0	1.0
96.0	0.5	FamousPlaces	0	AP_27.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	901.0	1.0
97.5	0.5	FamousPlaces	0	FP_14.bmp	Repeat	Place	Famous	6.0	1.0	Relevant	1052.0	0.0
99.999	0.5	FamousPlaces	0	AP_15.bmp	Novel	Place	Anonymous	7.0	1.0	Irrelevant	1029.0	1.0
102.0	0.5	FamousPlaces	0	FP_35.bmp	Novel	Place	Famous	4.0	1.0	Relevant	607.0	1.0
103.5	0.5	FamousPlaces	0	AP_7.bmp	Novel	Place	Anonymous	5.0	1.0	Irrelevant	891.0	1.0
105.0	0.5	FamousPlaces	0	AP_1.bmp	Novel	Place	Anonymous	5.0	1.0	Irrelevant	673.0	1.0
106.5	0.5	FamousPlaces	0	FP_35.bmp	Repeat	Place	Famous	4.0	1.0	Relevant	607.0	0.0
111.0	n/a	Fixation	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
114.0	n/a	Fixation	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
117.0	n/a	Fixation	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
