onset	duration	task	task_block_on	image	novelty	domain	fame	fame_rating	fame_check	task_relevance	response_time	accuracy
21.0	0.5	AnonymousPlaces	1	FP_14.bmp	Novel	Place	Famous	6.0	1.0	Irrelevant	1134.0	1.0
23.0	0.5	AnonymousPlaces	0	FP_39.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	915.0	1.0
25.0	0.5	AnonymousPlaces	0	FP_15.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	528.0	1.0
27.0	0.5	AnonymousPlaces	0	AP_6.bmp	Novel	Place	Anonymous	5.0	1.0	Relevant	485.0	1.0
28.5	0.5	AnonymousPlaces	0	FP_37.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	620.0	1.0
30.0	0.5	AnonymousPlaces	0	FP_2.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	569.0	1.0
31.5	0.5	AnonymousPlaces	0	AP_6.bmp	Repeat	Place	Anonymous	5.0	1.0	Relevant	737.0	1.0
36.0	0.5	AnonymousPlaces	0	AP_19.bmp	Novel	Place	Anonymous	4.0	1.0	Relevant	792.0	1.0
37.5	0.5	AnonymousPlaces	0	FP_6.bmp	Novel	Place	Famous	6.0	1.0	Irrelevant	545.0	1.0
39.0	0.5	AnonymousPlaces	0	FP_44.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	451.0	1.0
40.5	0.5	AnonymousPlaces	0	AP_19.bmp	Repeat	Place	Anonymous	4.0	1.0	Relevant	557.0	1.0
43.0	0.5	AnonymousPlaces	0	FP_14.bmp	Repeat	Place	Famous	6.0	1.0	Irrelevant	948.0	1.0
45.0	0.5	AnonymousPlaces	0	AP_7.bmp	Novel	Place	Anonymous	5.0	1.0	Relevant	413.0	1.0
46.5	0.5	AnonymousPlaces	0	FP_21.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	528.0	1.0
48.0	0.5	AnonymousPlaces	0	FP_7.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	592.0	1.0
49.5	0.5	AnonymousPlaces	0	AP_28.bmp	Novel	Place	Anonymous	4.0	1.0	Relevant	556.0	1.0
52.0	0.5	AnonymousPlaces	0	FP_8.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	465.0	1.0
54.0	0.5	AnonymousPlaces	0	AP_28.bmp	Repeat	Place	Anonymous	4.0	1.0	Relevant	517.0	0.0
55.5	0.5	AnonymousPlaces	0	FP_12.bmp	Novel	Place	Famous	4.0	1.0	Irrelevant	528.0	1.0
57.0	0.5	AnonymousPlaces	0	FP_23.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	491.0	1.0
