onset	duration	task	task_block_on	image	novelty	domain	fame	fame_rating	fame_check	task_relevance	response_time	accuracy
21.0	0.5	AnonymousPlaces	1	AP_5.bmp	Novel	Place	Anonymous	7.0	1.0	Relevant	739.0	1.0
22.5	0.5	AnonymousPlaces	0	FP_8.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	663.0	1.0
24.0	0.5	AnonymousPlaces	0	FP_14.bmp	Novel	Place	Famous	1.0	0.0	Irrelevant	688.0	1.0
25.5	0.5	AnonymousPlaces	0	AP_5.bmp	Repeat	Place	Anonymous	7.0	1.0	Relevant	845.0	1.0
27.0	0.5	AnonymousPlaces	0	FP_33.bmp	Novel	Place	Famous	6.0	1.0	Irrelevant	703.0	1.0
29.001	0.5	AnonymousPlaces	0	FP_18.bmp	Novel	Place	Famous	3.0	0.0	Irrelevant	745.0	1.0
30.999	0.5	AnonymousPlaces	0	FP_42.bmp	Novel	Place	Famous	4.0	1.0	Irrelevant	717.0	1.0
33.0	0.5	AnonymousPlaces	0	AP_31.bmp	Novel	Place	Anonymous	2.0	1.0	Relevant	664.0	1.0
34.5	0.5	AnonymousPlaces	0	FP_7.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	650.0	1.0
36.0	0.5	AnonymousPlaces	0	FP_43.bmp	Novel	Place	Famous	2.0	0.0	Irrelevant	753.0	1.0
37.5	0.5	AnonymousPlaces	0	AP_31.bmp	Repeat	Place	Anonymous	2.0	1.0	Relevant	981.0	1.0
39.999	0.5	AnonymousPlaces	0	FP_33.bmp	Repeat	Place	Famous	6.0	1.0	Irrelevant	720.0	1.0
42.0	0.5	AnonymousPlaces	0	AP_7.bmp	Novel	Place	Anonymous	2.0	1.0	Relevant	865.0	1.0
43.5	0.5	AnonymousPlaces	0	FP_40.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	0.0	0.0
45.0	0.5	AnonymousPlaces	0	FP_4.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	758.0	1.0
46.5	0.5	AnonymousPlaces	0	AP_7.bmp	Repeat	Place	Anonymous	2.0	1.0	Relevant	801.0	0.0
51.0	0.5	AnonymousPlaces	0	AP_38.bmp	Novel	Place	Anonymous	2.0	1.0	Relevant	860.0	1.0
52.5	0.5	AnonymousPlaces	0	FP_9.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	897.0	1.0
54.0	0.5	AnonymousPlaces	0	FP_27.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	808.0	1.0
55.5	0.5	AnonymousPlaces	0	AP_38.bmp	Repeat	Place	Anonymous	2.0	1.0	Relevant	830.0	1.0
60.0	0.5	AnonymousPlaces	0	AP_15.bmp	Novel	Place	Anonymous	4.0	1.0	Relevant	635.0	1.0
61.5	0.5	AnonymousPlaces	0	FP_6.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	606.0	1.0
63.0	0.5	AnonymousPlaces	0	FP_29.bmp	Novel	Place	Famous	2.0	0.0	Irrelevant	839.0	1.0
64.5	0.5	AnonymousPlaces	0	AP_26.bmp	Novel	Place	Anonymous	4.0	1.0	Relevant	991.0	1.0
66.999	0.5	AnonymousPlaces	0	FP_38.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	605.0	1.0
69.0	0.5	AnonymousPlaces	0	AP_25.bmp	Novel	Place	Anonymous	1.0	1.0	Relevant	951.0	1.0
70.5	0.5	AnonymousPlaces	0	FP_11.bmp	Novel	Place	Famous	4.0	1.0	Irrelevant	696.0	1.0
72.0	0.5	AnonymousPlaces	0	FP_17.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	623.0	1.0
73.5	0.5	AnonymousPlaces	0	AP_25.bmp	Repeat	Place	Anonymous	1.0	1.0	Relevant	647.0	1.0
75.0	0.5	AnonymousPlaces	0	FP_12.bmp	Novel	Place	Famous	6.0	1.0	Irrelevant	693.0	1.0
77.001	0.5	AnonymousPlaces	0	FP_44.bmp	Novel	Place	Famous	6.0	1.0	Irrelevant	715.0	1.0
78.999	0.5	AnonymousPlaces	0	FP_13.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	721.0	1.0
81.0	0.5	AnonymousPlaces	0	AP_35.bmp	Novel	Place	Anonymous	2.0	1.0	Relevant	992.0	1.0
82.5	0.5	AnonymousPlaces	0	FP_37.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	769.0	1.0
84.0	0.5	AnonymousPlaces	0	FP_32.bmp	Novel	Place	Famous	7.0	1.0	Irrelevant	645.0	1.0
85.5	0.5	AnonymousPlaces	0	AP_22.bmp	Novel	Place	Anonymous	1.0	1.0	Relevant	722.0	1.0
87.999	0.5	AnonymousPlaces	0	FP_38.bmp	Repeat	Place	Famous	7.0	1.0	Irrelevant	576.0	1.0
