onset	duration	task	task_block_on	image	novelty	domain	fame	fame_rating	fame_check	task_relevance	response_time	accuracy
21.0	0.5	FamousPlaces	1	FP_24.bmp	Novel	Place	Famous	5.0	1.0	Relevant	748.0	1.0
22.5	0.5	FamousPlaces	0	AP_1.bmp	Novel	Place	Anonymous	5.0	1.0	Irrelevant	650.0	1.0
24.0	0.5	FamousPlaces	0	AP_39.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	697.0	1.0
25.5	0.5	FamousPlaces	0	FP_24.bmp	Repeat	Place	Famous	5.0	1.0	Relevant	649.0	0.0
27.999	0.5	FamousPlaces	0	AP_25.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	517.0	1.0
30.0	0.5	FamousPlaces	0	FP_15.bmp	Novel	Place	Famous	7.0	1.0	Relevant	701.0	1.0
31.5	0.5	FamousPlaces	0	AP_22.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	659.0	1.0
33.0	0.5	FamousPlaces	0	AP_34.bmp	Novel	Place	Anonymous	3.0	1.0	Irrelevant	709.0	1.0
34.5	0.5	FamousPlaces	0	FP_12.bmp	Novel	Place	Famous	6.0	1.0	Relevant	772.0	1.0
39.0	0.5	FamousPlaces	0	FP_12.bmp	Repeat	Place	Famous	6.0	1.0	Relevant	645.0	1.0
40.5	0.5	FamousPlaces	0	AP_27.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	557.0	1.0
42.0	0.5	FamousPlaces	0	AP_39.bmp	Repeat	Place	Anonymous	2.0	1.0	Irrelevant	553.0	1.0
43.5	0.5	FamousPlaces	0	FP_23.bmp	Novel	Place	Famous	4.0	1.0	Relevant	854.0	1.0
45.999	0.5	FamousPlaces	0	AP_17.bmp	Novel	Place	Anonymous	3.0	1.0	Irrelevant	817.0	1.0
48.0	0.5	FamousPlaces	0	FP_23.bmp	Repeat	Place	Famous	4.0	1.0	Relevant	661.0	0.0
49.5	0.5	FamousPlaces	0	AP_26.bmp	Novel	Place	Anonymous	4.0	1.0	Irrelevant	680.0	1.0
51.0	0.5	FamousPlaces	0	AP_2.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	721.0	1.0
52.5	0.5	FamousPlaces	0	FP_21.bmp	Novel	Place	Famous	7.0	1.0	Relevant	587.0	1.0
54.998999999999995	0.5	FamousPlaces	0	AP_9.bmp	Novel	Place	Anonymous	3.0	1.0	Irrelevant	733.0	1.0
57.0	0.5	FamousPlaces	0	FP_21.bmp	Repeat	Place	Famous	7.0	1.0	Relevant	637.0	1.0
58.5	0.5	FamousPlaces	0	AP_30.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	680.0	1.0
60.0	0.5	FamousPlaces	0	AP_15.bmp	Novel	Place	Anonymous	4.0	1.0	Irrelevant	743.0	1.0
61.5	0.5	FamousPlaces	0	FP_36.bmp	Novel	Place	Famous	7.0	1.0	Relevant	746.0	1.0
