onset	duration	task	task_block_on	image	novelty	domain	fame	fame_rating	fame_check	task_relevance	response_time	accuracy
21.0	0.5	FamousPlaces	1	FP_24.bmp	Novel	Place	Famous	7.0	1.0	Relevant	568.0	1.0
22.5	0.5	FamousPlaces	0	AP_1.bmp	Novel	Place	Anonymous	6.0	1.0	Irrelevant	738.0	1.0
24.0	0.5	FamousPlaces	0	AP_39.bmp	Novel	Place	Anonymous	3.0	1.0	Irrelevant	935.0	1.0
25.5	0.5	FamousPlaces	0	FP_24.bmp	Repeat	Place	Famous	7.0	1.0	Relevant	792.0	0.0
27.999	0.5	FamousPlaces	0	AP_25.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	795.0	1.0
30.0	0.5	FamousPlaces	0	FP_15.bmp	Novel	Place	Famous	7.0	1.0	Relevant	681.0	1.0
31.5	0.5	FamousPlaces	0	AP_22.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	767.0	1.0
33.0	0.5	FamousPlaces	0	AP_34.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	780.0	1.0
34.5	0.5	FamousPlaces	0	FP_12.bmp	Novel	Place	Famous	7.0	1.0	Relevant	852.0	1.0
39.0	0.5	FamousPlaces	0	FP_12.bmp	Repeat	Place	Famous	7.0	1.0	Relevant	1071.0	1.0
40.5	0.5	FamousPlaces	0	AP_27.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	738.0	1.0
42.0	0.5	FamousPlaces	0	AP_39.bmp	Repeat	Place	Anonymous	3.0	1.0	Irrelevant	802.0	1.0
43.5	0.5	FamousPlaces	0	FP_23.bmp	Novel	Place	Famous	2.0	0.0	Relevant	734.0	1.0
45.999	0.5	FamousPlaces	0	AP_17.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	768.0	1.0
48.0	0.5	FamousPlaces	0	FP_23.bmp	Repeat	Place	Famous	2.0	0.0	Relevant	726.0	0.0
49.5	0.5	FamousPlaces	0	AP_26.bmp	Novel	Place	Anonymous	7.0	1.0	Irrelevant	536.0	1.0
51.0	0.5	FamousPlaces	0	AP_2.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	760.0	1.0
52.5	0.5	FamousPlaces	0	FP_21.bmp	Novel	Place	Famous	7.0	1.0	Relevant	918.0	1.0
54.998999999999995	0.5	FamousPlaces	0	AP_9.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	757.0	1.0
57.0	0.5	FamousPlaces	0	FP_21.bmp	Repeat	Place	Famous	7.0	1.0	Relevant	581.0	1.0
58.5	0.5	FamousPlaces	0	AP_30.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	591.0	1.0
60.0	0.5	FamousPlaces	0	AP_15.bmp	Novel	Place	Anonymous	7.0	1.0	Irrelevant	747.0	1.0
61.5	0.5	FamousPlaces	0	FP_36.bmp	Novel	Place	Famous	7.0	1.0	Relevant	888.0	1.0
66.0	0.5	FamousPlaces	0	FP_18.bmp	Novel	Place	Famous	5.0	1.0	Relevant	830.0	1.0
67.5	0.5	FamousPlaces	0	AP_11.bmp	Novel	Place	Anonymous	6.0	1.0	Irrelevant	934.0	1.0
69.0	0.5	FamousPlaces	0	AP_3.bmp	Novel	Place	Anonymous	4.0	1.0	Irrelevant	814.0	1.0
70.5	0.5	FamousPlaces	0	FP_18.bmp	Repeat	Place	Famous	5.0	1.0	Relevant	1053.0	1.0
72.0	0.5	FamousPlaces	0	AP_7.bmp	Novel	Place	Anonymous	3.0	1.0	Irrelevant	562.0	1.0
74.001	0.5	FamousPlaces	0	AP_18.bmp	Novel	Place	Anonymous	4.0	1.0	Irrelevant	750.0	1.0
75.999	0.5	FamousPlaces	0	AP_9.bmp	Repeat	Place	Anonymous	2.0	1.0	Irrelevant	767.0	1.0
78.0	0.5	FamousPlaces	0	FP_20.bmp	Novel	Place	Famous	7.0	1.0	Relevant	729.0	1.0
79.5	0.5	FamousPlaces	0	AP_6.bmp	Novel	Place	Anonymous	6.0	1.0	Irrelevant	787.0	1.0
81.0	0.5	FamousPlaces	0	AP_19.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	1318.0	1.0
82.5	0.5	FamousPlaces	0	FP_20.bmp	Repeat	Place	Famous	7.0	1.0	Relevant	803.0	1.0
84.999	0.5	FamousPlaces	0	AP_28.bmp	Novel	Place	Anonymous	7.0	1.0	Irrelevant	749.0	1.0
87.0	0.5	FamousPlaces	0	FP_40.bmp	Novel	Place	Famous	4.0	1.0	Relevant	762.0	1.0
88.5	0.5	FamousPlaces	0	AP_12.bmp	Novel	Place	Anonymous	5.0	1.0	Irrelevant	807.0	1.0
90.0	0.5	FamousPlaces	0	AP_10.bmp	Novel	Place	Anonymous	1.0	1.0	Irrelevant	788.0	1.0
91.5	0.5	FamousPlaces	0	FP_41.bmp	Novel	Place	Famous	4.0	1.0	Relevant	964.0	1.0
93.999	0.5	FamousPlaces	0	AP_21.bmp	Novel	Place	Anonymous	3.0	1.0	Irrelevant	743.0	1.0
96.0	0.5	FamousPlaces	0	FP_10.bmp	Novel	Place	Famous	7.0	1.0	Relevant	891.0	1.0
97.5	0.5	FamousPlaces	0	AP_24.bmp	Novel	Place	Anonymous	3.0	1.0	Irrelevant	749.0	1.0
99.0	0.5	FamousPlaces	0	AP_4.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	656.0	1.0
100.5	0.5	FamousPlaces	0	FP_10.bmp	Repeat	Place	Famous	7.0	1.0	Relevant	821.0	1.0
102.0	0.5	FamousPlaces	0	AP_20.bmp	Novel	Place	Anonymous	4.0	1.0	Irrelevant	706.0	1.0
104.001	0.5	FamousPlaces	0	AP_13.bmp	Novel	Place	Anonymous	3.0	1.0	Irrelevant	723.0	1.0
105.999	0.5	FamousPlaces	0	AP_37.bmp	Novel	Place	Anonymous	2.0	1.0	Irrelevant	783.0	1.0
111.0	n/a	Fixation	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
114.0	n/a	Fixation	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
117.0	n/a	Fixation	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
120.0	n/a	Fixation	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
123.0	n/a	Fixation	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
126.0	n/a	Fixation	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
129.0	n/a	Fixation	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
